title,cuisine,categories,calories,ingredients,directions,healthy_notes,source,source_dataset
Comparison / Everyday Object,,,,,,Unit,What it means,Food_Groups_MASTER
About the weight of a small paperclip or sugar cube,,,,,,1 gram (g),"Basic unit of weight. 1 g = 1,000 mg = 1,000,000 µg",Food_Groups_MASTER
About the weight of a single grain of table sugar,,,,,,1 milligram (mg),One-thousandth of a gram (0.001 g),Food_Groups_MASTER
"So tiny you can’t see it — about 1/17,000 of a teaspoon of powder",,,,,,1 microgram (µg),One-millionth of a gram (0.000001 g),Food_Groups_MASTER
"Too small to measure with cups/spoons, but still important for health",,,,,,Why food labels use mg/µg,Vitamins & minerals are present in very small amounts,Food_Groups_MASTER
"Less than a dust speck, but essential for the body",,,,,,Example: Rice (100 g),Folate 58 µg = 0.058 mg,Food_Groups_MASTER
Mediterranean Grape–Apricot Salad,Mediterranean,,,"50 g grapes (≈10 grapes), 30 g apricot (≈1 small), 10 g pomegranate seeds (≈1 tbsp), 10 g mint leaves (≈2 sprigs), lemon juice (squeeze)",Toss fruit with mint and lemon juice. Chill before serving.,"Rich in antioxidants (grapes, apricot, pomegranate).",Recipes,Healthy_Fruit_Recipes
Indian Mango–Papaya Bowl,Indian,,,"40 g mango (≈⅕ medium), 40 g papaya (≈⅕ cup cubes), 10 g guava (≈¼ guava), 10 g lime juice (≈½ lime), pinch of black salt & chili (optional)","Mix fruit, drizzle lime, sprinkle spice.","Supports digestion (papain in papaya, fiber in guava).",Recipes,Healthy_Fruit_Recipes
American Apple–Blueberry Yogurt Parfait,American,,,"50 g apple (≈¼ medium, diced), 30 g blueberries (≈¼ cup), 20 g Greek yogurt (≈1 tbsp), dash of cinnamon","Layer apple, berries, and yogurt. Sprinkle cinnamon.","Protein + probiotics from yogurt, antioxidants from blueberries.",Recipes,Healthy_Fruit_Recipes
Japanese Kiwi–Persimmon Mix,Japanese,,,"40 g kiwi (≈½ kiwi), 40 g persimmon (≈¼ medium), 10 g mandarin orange (≈1–2 segments), 10 g sesame seeds (≈2 tsp)",Combine fruits and sprinkle sesame on top.,"Vitamin C boost (kiwi, mandarin) and beta-carotene (persimmon).",Recipes,Healthy_Fruit_Recipes
Caribbean Soursop–Pineapple Cooler,Caribbean,,,"40 g soursop pulp (≈⅕ fruit), 40 g pineapple (≈⅓ cup chunks), 20 g coconut water (≈1 tbsp + splash)","Lightly blend to a smooth, slightly chunky drink.","Hydrating, electrolytes from coconut water, vitamin C-rich.",Recipes,Healthy_Fruit_Recipes
SE Asian Dragon Fruit–Rambutan Bowl,SE Asian,,,"50 g dragon fruit (≈⅙ medium fruit, cubed), 40 g rambutan (≈2 fruits, peeled & seeded), 10 g passionfruit pulp (≈½ fruit)","Toss together, spoon passionfruit pulp on top.","Light, vitamin-packed tropical mix with fiber and antioxidants.",Recipes,Healthy_Fruit_Recipes
Brazilian Passionfruit–Banana Smoothie,Brazilian,,,"40 g passionfruit pulp (≈2 fruits), 40 g banana (≈⅓ medium), 20 g water or milk (≈1½ tbsp)",Blend until smooth. Serve cold.,Balanced carbs for energy and vitamin C from passionfruit.,Recipes,Healthy_Fruit_Recipes
American Apple–Cinnamon Oat Bowl,American,,,"40 g apple (≈¼ medium, diced), 40 g cooked oats (≈2 tbsp dry oats, cooked), 15 g blueberries (≈1 tbsp or ~10 berries), 5 g walnuts (≈1 tsp, chopped), cinnamon (pinch)","Mix warm oats with apple, blueberries, and walnuts. Sprinkle cinnamon.",Whole-grain fiber + antioxidants for steady energy.,Recipes,Healthy_Fruit_Recipes
American Peach–Barley Breakfast Cup,American,,,"40 g cooked barley (≈1 tbsp dry barley, cooked), 35 g peach (≈¼ peach, diced), 15 g strawberry (≈1 small), 10 g Greek yogurt (≈1 tsp)","Layer barley, fruit, and yogurt in a cup. Serve chilled.",Barley provides soluble fiber (beta-glucans).,Recipes,Healthy_Fruit_Recipes
American Cherry–Millet Porridge,American,,,"45 g cooked millet (≈2 tbsp dry millet, cooked), 35 g cherries (≈4 cherries, pitted), 15 g banana (≈⅛ banana), 5 g almond slivers (≈1 tsp)",Stir cooked millet with banana and cherries. Sprinkle almonds.,"Millet provides magnesium, cherries add antioxidants.",Recipes,Healthy_Fruit_Recipes
